Subset,Count,AP,ACC,R_ACC,F_ACC,AUC
ADM,12000,0.9978,0.9666,0.9933,0.9398,0.9977
DALLE2,1999,0.9927,0.8939,0.998,0.79,0.9921
Glide,12000,0.9997,0.9932,0.9948,0.9915,0.9997
Midjourney,12000,0.9944,0.962,0.9747,0.9493,0.9939
VQDM,12000,0.9994,0.9849,0.9748,0.995,0.9994
biggan,4000,0.9994,0.9858,0.974,0.9975,0.9994
cyclegan,2642,0.9898,0.947,0.9508,0.9432,0.9884
gaugan,10000,0.9998,0.9777,0.9562,0.9992,0.9998
progan,8000,1.0,0.998,0.9972,0.9988,1.0
stable_diffusion_v_1_4,12000,0.9988,0.9815,0.9723,0.9907,0.9987
stable_diffusion_v_1_5,16000,0.998,0.9806,0.9722,0.9889,0.9977
stargan,3998,0.9874,0.8847,0.996,0.7734,0.9861
stylegan,11982,0.9656,0.8349,0.996,0.6738,0.9584
stylegan2,15976,0.9766,0.8533,0.9957,0.7108,0.9717
whichfaceisreal,2000,0.9244,0.762,0.587,0.937,0.9119
wukong,12000,0.9975,0.9758,0.9733,0.9783,0.9972
Overall,148597,0.9888,0.9472,0.9764,0.9179,0.9863
