Subset,Count,AP,ACC,R_ACC,F_ACC,AUC
ADM,12000,0.9977833082221423,0.9665833333333333,0.9977080694444443,0.9933333333333333,0.9398333333333333
DALLE2,1999,0.9926504454598549,0.8939469734867433,0.9920980980980981,0.997997997997998,0.79
Glide,12000,0.9997137918340334,0.9931666666666666,0.9996745277777778,0.9948333333333333,0.9915
Midjourney,12000,0.9943586179846078,0.962,0.9939473055555555,0.9746666666666667,0.9493333333333334
VQDM,12000,0.9994051468344305,0.9849166666666667,0.9994179999999999,0.9748333333333333,0.995
biggan,4000,0.9994367544261039,0.98575,0.9994295,0.974,0.9975
cyclegan,2642,0.9897550704168462,0.9470098410295231,0.9884071491729994,0.9507948523845572,0.9432248296744891
gaugan,10000,0.9998410287929789,0.9777,0.99983552,0.9562,0.9992
progan,8000,0.9999797678069191,0.998,0.99997975,0.99725,0.99875
stable_diffusion_v_1_4,12000,0.9987991835405265,0.9815,0.9987217777777777,0.9723333333333334,0.9906666666666667
stable_diffusion_v_1_5,16000,0.998016822966208,0.9805625,0.9976802265625001,0.97225,0.988875
stargan,3998,0.9874187499448325,0.8846923461730866,0.9861004789538341,0.9959979989994997,0.7733866933466733
stylegan,11982,0.9656164241301123,0.8349190452345184,0.9584129156512268,0.9959939909864797,0.6738440994825572
stylegan2,15976,0.9766377862569533,0.8532799198798198,0.9716505858562505,0.9957436154231347,0.7108162243365047
whichfaceisreal,2000,0.9244231681162761,0.762,0.9118585,0.587,0.937
wukong,12000,0.9974507794938876,0.9758333333333333,0.9972072222222221,0.9733333333333334,0.9783333333333334
Overall,148597,0.988765796716249,0.9471725539546558,0.986300888688411,0.9764462031279443,0.9178992987792568
